"G_ID","G_name","G_category","G_developer","G_rating","A_ID","A_name","A_category","A_developer","A_rating"
"a3740","Libii Dentist","Educational","Libii","3.8","b1133","Libii Dentist","Family","Libii Tech Limited","3.84868"
"a2320","One More Dash","Casual","SMG Studio","4.2","b1248","One More Dash","Music","SMG Studio","4.46014"
"a2418","Hoppy Frog 2 - City Escape","Arcade","Turbo Chilli","4.5","b1284","Hoppy Frog 2 - City Escape","Music","Turbo Chilli Pty Ltd","4.6675"
"a2095","Demi Lovato: Path to Fame","Casual","Episode Interactive","4.5","b1329","Demi Lovato: Path to Fame","Entertainment","Episode Interactive","3.94179"
"a1639","The Impossible Game","Arcade","FlukeDude","4.1","b1337","The Impossible Game","Arcade","FlukeDude Ltd","4.42001"
"a2066","Just Dance Now","Music","Ubisoft Entertainment","4.2","b1344","Just Dance Now","Music","Ubisoft","3.856"
"a1260","Hollywood U: Rising Stars","Simulation","Pixelberry","4.2","b1351","Hollywood U: Rising Stars","Simulation","Pixelberry Studios","4.31496"
"a1686","Geometry Dash","Arcade","RobTop Games","4.8","b1353","Geometry Dash","Entertainment","RobTop Games AB","4.65435"
"a1261","My Singing Monsters","Simulation","Big Blue Bubble","4.5","b1358","My Singing Monsters","Simulation","Big Blue Bubble","4.72177"
"a2453","Geometry Dash Lite","Arcade","RobTop Games","4.5","b1360","Geometry Dash Lite","Arcade","RobTop Games AB","4.49073"
"a2788","Rolling Sky","Board","Cheetah Games","4.5","b1363","Rolling Sky","Music","Cheetah Technology Corporation Limited","4.50903"
"a1864","Jigsaw Puzzles Epic","Puzzle","Kristanix Games","4.5","b1366","Jigsaw Puzzles Epic","Games","Kristanix Games","4.60379"
"a1201","Monument Valley","Puzzle","ustwo games","4.7","b1388","Monument Valley","Puzzle","ustwo Games Ltd","4.57258"
"a2412","Angry Birds Space","Arcade","Rovio Entertainment Ltd.","4.4","b1394","Angry Birds Space","Arcade","Rovio Entertainment Ltd","3.9908"
"a255","Maleficent Free Fall","Puzzle","Disney","4.3","b1401","Maleficent Free Fall","Strategy","Disney","4.72989"
"a1587","Bad Piggies","Puzzle","Rovio Entertainment Ltd.","4.3","b1403","Bad Piggies","Arcade","Rovio Entertainment Ltd","3.83648"
"a284","Agent Alice","Puzzle","Wooga","4.3","b1405","Agent Alice","Puzzle","wooga","4.61033"
"a838","DRAGON BALL Z DOKKAN BATTLE","Action","BANDAI NAMCO Entertainment Inc.","4.0","b1410","DRAGON BALL Z DOKKAN BATTLE","Puzzle","BANDAI NAMCO Entertainment Inc.","3.98883"
